Crosstalk,Ct_Sora_Raf,Ct_Sora_EGFR,Ct_Sora_IGFR,Ct_EGFR_PI3K,Ct_Erk_mTor,Ct_mTor_IGFR,Ct_PI3K_Raf,WBDMSO,WB1257Sora,WB1851Sora,Bp1851Sora,Bp1851DMSO,Bp1851Sora2,Bp1851DMSO2,Bp1257Sora,Bp1257DMSO,Bp1257Sora2,Bp1257DMSO2,Size,
2,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,2,0.0%
3,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,2,0.0%
3,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0.0%
3,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,2,0.0%
4,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,5,0.0%
3,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0.0%
3,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0.0%
4,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0.0%
4,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,3,0.0%
2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0.0%
3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0.0%
3,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0.0%
4,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0.0%
4,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0.0%
3,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0.0%
4,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,3,0.0%
3,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,6,0.0%
4,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,5,0.0%
4,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,6,0.0%
2,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,6,0.0%
3,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,8,0.0%
4,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,2,0.0%
3,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0.0%
4,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,5,0.0%
4,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0.0%
3,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0.0%
4,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0.0%
3,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0.0%
4,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,5,0.0%
4,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0.0%
2,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0.0%
3,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0.0%
4,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0.0%
3,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,3,0.0%
4,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,2,0.0%
4,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0.0%
4,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,3,0.0%
3,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0.0%
4,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0.0%
3,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,3,0.0%
4,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,5,0.0%
2,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,3,0.0%
4,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,3,0.0%
3,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0.0%
3,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,2,0.0%
4,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,4,0.0%
3,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0.0%
2,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0.0%
3,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0.0%
2,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0.0%
3,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0.0%
1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0.0%
2,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0.0%
3,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0.0%
3,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,2,0.0%
3,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0.0%
4,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0.0%
3,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0.0%
4,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0.0%
3,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0.0%
4,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,4,0.0%
2,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,2,0.0%
3,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0.0%
4,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0.0%
4,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0.0%
4,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0.0%
3,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,4,0.0%
4,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,8,0.0%
4,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,4,0.0%
4,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,4,0.0%
5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,3,0.0%
4,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,4,0.0%
5,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0.0%
3,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0.0%
4,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.0%
4,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0.0%
5,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,2,0.0%
3,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,4,0.0%
2,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,2,0.0%
3,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,4,0.0%
2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0.0%
3,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0.0%
3,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,3,0.0%
1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,2,0.0%
2,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,5,0.0%
3,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,2,0.0%
2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,2,0.0%
3,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,8,0.0%
3,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,3,0.0%
2,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0.0%
1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0.0%
2,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0.0%
1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0.0%
2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,2,0.0%
2,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0.0%
0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0.0%
1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0.0%
2,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0.0%
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,2,0.0%
2,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0.0%
2,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0.0%
2,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,2,0.0%
2,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0.0%
3,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,3,0.0%
2,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0.0%
2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0.0%
3,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0.0%
3,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,3,0.0%
1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0.0%
2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0.0%
2,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0.0%
3,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,2,0.0%
3,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,2,0.0%
3,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0.0%
2,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0.0%
3,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0.0%
2,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0.0%
3,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,4,0.0%
3,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,2,0.0%
1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0.0%
2,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0%
3,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0.0%
2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,2,0.0%
3,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0.0%
3,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0%
2,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0.0%
3,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0.0%
2,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0.0%
3,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,5,0.0%
1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0.0%
2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0.0%
3,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0.0%
2,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,2,0.0%
3,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,2,0.0%
3,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,3,0.0%
2,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0.0%
3,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0.0%
2,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,3,0.0%
3,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,3,0.0%
1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,3,0.0%
3,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,2,0.0%
2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0.0%
3,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,2,0.0%
2,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0.0%
3,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,3,0.0%
3,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0.0%
2,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0.0%
3,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0.0%
3,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0.0%
2,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0.0%
2,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0.0%
1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0.0%
2,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0.0%
1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0.0%
2,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0.0%
0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0.0%
1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0.0%
2,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0.0%
2,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0.0%
2,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0.0%
2,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0.0%
3,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0.0%
2,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0.0%
3,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0.0%
2,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0.0%
3,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,2,0.0%
1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0.0%
2,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0.0%
3,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0.0%
3,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0.0%
3,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0%
4,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0.0%
5,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0.0%
4,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0.0%
3,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0.0%
4,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0.0%
5,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0.0%
3,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0.0%
2,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0.0%
3,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0.0%
4,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0.0%
3,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0.0%
2,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0.0%
3,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0.0%
4,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0.0%
4,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,0.0%
3,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,2,0.0%
4,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,5,0.0%
3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0%
4,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0%
2,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0%
4,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0%
3,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0.0%
4,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,9,0.0%
4,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,0.0%
3,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0.0%
2,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0.0%
3,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0.0%
2,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0.0%
3,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,2,0.0%
3,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0.0%
1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0.0%
2,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0%
3,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0.0%
2,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,2,0.0%
3,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0.0%
3,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0.0%
3,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,2,0.0%
3,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0.0%
4,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,2,0.0%
3,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,2,0.0%
4,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,10,0.1%
4,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,6,0.0%
4,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,4,0.0%
3,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,3,0.0%
4,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,4,0.0%
4,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,4,0.0%
4,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,2,0.0%
4,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,2,0.0%
3,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,2,0.0%
3,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,3,0.0%
4,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0.0%
3,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.0%
4,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0%
3,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.0%
2,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0.0%
3,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.0%
4,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0.0%
4,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,2,0.0%
4,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0.0%
3,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0.0%
3,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0.0%
3,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0.0%
2,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0.0%
3,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0.0%
2,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0.0%
3,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0.0%
1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0.0%
2,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0.0%
3,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0.0%
3,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0.0%
3,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0.0%
3,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0.0%
4,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0.0%
3,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0.0%
4,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,2,0.0%
4,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0.0%
5,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0.0%
4,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0.0%
5,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0.0%
4,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0.0%
3,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0.0%
4,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0.0%
5,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0.0%
5,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,15,0.1%
6,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,21,0.1%
4,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,7,0.0%
5,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,8,0.0%
4,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,2,0.0%
5,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,6,0.0%
3,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,2,0.0%
4,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,2,0.0%
5,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,10,0.1%
5,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,2,0.0%
6,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,5,0.0%
4,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0.0%
6,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0.0%
5,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,7,0.0%
6,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,14,0.1%
4,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,7,0.0%
5,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,16,0.1%
6,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,7,0.0%
6,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,2,0.0%
5,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,2,0.0%
6,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,8,0.0%
4,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,4,0.0%
5,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,8,0.0%
6,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,8,0.0%
6,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,2,0.0%
5,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,2,0.0%
6,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,2,0.0%
5,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,2,0.0%
6,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,2,0.0%
6,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,2,0.0%
4,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,2,0.0%
5,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,2,0.0%
6,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,2,0.0%
6,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,4,0.0%
6,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,2,0.0%
6,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,2,0.0%
5,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,2,0.0%
6,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,2,0.0%
5,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,2,0.0%
5,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,9,0.0%
6,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,18,0.1%
4,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,9,0.0%
6,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,9,0.0%
5,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,2,0.0%
4,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,2,0.0%
5,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,2,0.0%
4,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,2,0.0%
5,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,2,0.0%
5,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,2,0.0%
3,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,2,0.0%
4,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,2,0.0%
5,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,2,0.0%
